titulaire-soutien,count
Union pour la démocratie française;Rassemblement pour la République;Centre des démocrates sociaux;Parti républicain;Parti radical;Parti social démocrate,1
droite modérée,1
libre;Parti des travailleurs,1
Union pour la démocratie française;Rassemblement pour la République;Mouvement France régions,1
Esquerra republicana de Catalunya,1
Jeunes Centre national des indépendants;Centre national des indépendants;Démocratie chrétienne française,1
Mouvement démocratie alsacienne,1
Mouvement des chrétiens pour la Ve République;Centre national des indépendants;Union des démocrates de progrès,1
Union du peuple alsacien,1
Ras le bol,1
droite démocratique,1
indépendant;gauche,1
Mouvement des radicaux de gauche;Parti socialiste;Alliance pour l'écologie et la démocratie,1
droite libérale et républicaine,1
Solidarité écologie gauche alternative;Alternative démocratie socialisme,1
Union du peuple de France,1
socialistes;divers gauche;Radicaux de gauche,1
Mouvement de la gauche progressiste;Solidarité écologie gauche alternative,1
progressistes,1
Union pour la démocratie française;Parti radical;Parti républicain;Centre des démocrates sociaux;Clubs perspectives et réalités,1
Mouvement des réformateurs;Solidarités;Politique autrement,1
Mouvement région Savoie;Alliance libre européenne,1
Solidarité écologie gauche alternative;Ecologie solidarités,1
Ecologie citoyenneté et laïcité;Ecologie 92;VRAIS écologistes;Cultures et laïcité;Association pour la culture bretonne;Cercle communautaire laïc juif;France Islam laïcité;AVEC;Montagne sans frontière;Alternative;Alliance pour l'écologie et la démocratie,1
Trop d'immigrés la France aux Français;Contre le vote des immigrés,1
Ligue communiste révolutionnaire;Egalité XXe;Refondations;Alliance rouge et verte,1
Mouvement des citoyens;Refondations;Alternative rouge et verte;Ligue communiste révolutionnaire;Alternative démocratie socialisme,1
Jeunesses communistes révolutionnaires;Groupe socialiste internationaliste,1
indépendant;sans étiquette,1
Mouvement des démocrates;Union des indépendants,1
Union pour la démocratie française;Centre national des indépendants et paysans,1
Union pour la démocratie française;Union des démocrates de progrès;Rassemblement pour la République;Mouvement solidarité participation;Union des jeunes pour le progrès;Femme avenir,1
Génération écologie;Ecologie les Verts;PROMESSE;confédération A29;Pourquoi pas Le Havre,1
Entente pour la démocratie et l'écologie en Normandie;Alliance pour l'écologie et la démocratie,1
Rassemblement pour la République;Union pour la démocratie française;divers modérés,1
Parti des chômeurs et des mécontents,1
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants;Parti démocrate;Parti réformiste;Union libérale de progrès;Union centriste républicaine indépendante,1
Parti radical;Union pour la démocratie française,1
indépendants;Centre chrétien populaire,1
Mouvement des citoyens;Mouvement des radicaux de gauche;Alternative démocratie socialisme,1
Groupement Thémis,1
France plus,1
Union pour la démocratie française;Rassemblement pour la République;non inscrits,1
Parti républicain,1
droite autonome,1
Région verte;EDEN;SOS environnement;Union des écologistes;Association des usagers de l'administration et des services publics;Parti de l'arbre;Terre prochaine,1
Génération écologie;Verts;Parti occitan,1
Union pour la démocratie française;Rassemblement pour la République;Parti radical;Parti républicain;Centre des démocrates sociaux,1
centriste,1
Rassemblement pour la République;Union des démocrates de progrès,1
sans appartenance politique,1
